-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
cutlass3x_sm100_tensorop_s64x64x16implicit_gemm_fpro...         0.00%       0.000us         0.00%       0.000us       0.000us     154.078us        17.27%     154.078us      14.007us            11  
                   triton_poi_fused_convolution_relu_19         0.00%       0.000us         0.00%       0.000us       0.000us     100.799us        11.30%     100.799us      33.600us             3  
                   triton_poi_fused_convolution_relu_14         0.00%       0.000us         0.00%       0.000us       0.000us      57.343us         6.43%      57.343us       9.557us             6  
cutlass3x_sm100_tensorop_s128x64x16implicit_gemm_fpr...         0.00%       0.000us         0.00%       0.000us       0.000us      52.320us         5.87%      52.320us       8.720us             6  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us      49.376us         5.54%      49.376us      49.376us             1  
               nvjet_sm110_hsh_112x64_64x9_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      44.352us         4.97%      44.352us      14.784us             3  
         nvjet_sm110_hsh_128x160_64x8_2x1_2cta_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      40.000us         4.48%      40.000us       5.000us             8  
               nvjet_sm110_hsh_256x40_64x5_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      35.424us         3.97%      35.424us       5.904us             6  
          nvjet_sm110_hsh_64x32_64x16_2x2_2cta_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      30.080us         3.37%      30.080us      15.040us             2  
               nvjet_sm110_hsh_64x40_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      28.320us         3.18%      28.320us       5.664us             5  
                   triton_poi_fused_convolution_relu_15         0.00%       0.000us         0.00%       0.000us       0.000us      26.176us         2.93%      26.176us       2.380us            11  
           nvjet_sm110_hsh_64x8_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      25.120us         2.82%      25.120us      25.120us             1  
               triton_poi_fused_add_convolution_relu_12         0.00%       0.000us         0.00%       0.000us       0.000us      22.783us         2.55%      22.783us       7.594us             3  
cutlass3x_sm100_tensorop_s128x128x16implicit_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us      21.440us         2.40%      21.440us      10.720us             2  
                   triton_poi_fused_convolution_relu_10         0.00%       0.000us         0.00%       0.000us       0.000us      17.536us         1.97%      17.536us       2.505us             7  
                    triton_poi_fused_convolution_relu_4         0.00%       0.000us         0.00%       0.000us       0.000us      15.200us         1.70%      15.200us       2.533us             6  
