-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
cutlass3x_sm100_tensorop_s64x64x8tf32implicit_gemm_f...         0.00%       0.000us         0.00%       0.000us       0.000us     264.994us        17.10%     264.994us      15.588us            17  
cutlass3x_sm100_tensorop_s128x64x8tf32gemm_f32_f32_f...         0.00%       0.000us         0.00%       0.000us       0.000us     206.816us        13.35%     206.816us      20.682us            10  
                   triton_poi_fused_convolution_relu_19         0.00%       0.000us         0.00%       0.000us       0.000us     193.311us        12.47%     193.311us      64.437us             3  
cutlass3x_sm100_tensorop_s128x128x8tf32gemm_f32_f32_...         0.00%       0.000us         0.00%       0.000us       0.000us     149.760us         9.66%     149.760us      11.520us            13  
cutlass3x_sm100_tensorop_s64x64x8tf32implicit_gemm_f...         0.00%       0.000us         0.00%       0.000us       0.000us     113.568us         7.33%     113.568us      37.856us             3  
void convolve_common_engine_float_NHWC<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us     110.177us         7.11%     110.177us     110.177us             1  
                   triton_poi_fused_convolution_relu_14         0.00%       0.000us         0.00%       0.000us       0.000us     105.857us         6.83%     105.857us      17.643us             6  
cutlass3x_sm100_tensorop_s128x256x8tf32gemm_f32_f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      61.568us         3.97%      61.568us      10.261us             6  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      55.680us         3.59%      55.680us      55.680us             1  
cutlass3x_sm100_tensorop_s128x128x8tf32implicit_gemm...         0.00%       0.000us         0.00%       0.000us       0.000us      40.576us         2.62%      40.576us      13.525us             3  
                    triton_poi_fused_convolution_relu_4         0.00%       0.000us         0.00%       0.000us       0.000us      33.696us         2.17%      33.696us       5.616us             6  
                    triton_poi_fused_convolution_relu_9         0.00%       0.000us         0.00%       0.000us       0.000us      23.136us         1.49%      23.136us       5.784us             4  
triton_poi_fused_convolution_max_pool2d_with_indices...         0.00%       0.000us         0.00%       0.000us       0.000us      21.568us         1.39%      21.568us      21.568us             1  
                   triton_poi_fused_convolution_relu_15         0.00%       0.000us         0.00%       0.000us       0.000us      20.640us         1.33%      20.640us       1.876us            11  
               triton_poi_fused_add_convolution_relu_12         0.00%       0.000us         0.00%       0.000us       0.000us      19.136us         1.23%      19.136us       6.379us             3  
                triton_poi_fused_add_convolution_relu_7         0.00%       0.000us         0.00%       0.000us       0.000us      15.744us         1.02%      15.744us       7.872us             2  
               triton_poi_fused_add_convolution_relu_17         0.00%       0.000us         0.00%       0.000us       0.000us      14.944us         0.96%      14.944us       2.989us             5  
