Layer                                                               ms
----------------------------------------------------------------------
__mye217912_myl0_0                                              0.0256
__myl_CastConc_myl0_1                                           0.0469
node_conv2d_myl0_2                                              0.1453
__myl_TranConcAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_3    0.0182
__mye211007+__mye210995+__mye210983_myl0_4                      0.1121
_gemm_mha_v2_myl0_5                                             0.0867
node_MatMul_68_myl0_6                                           0.0454
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_7    0.0162
node_MatMul_70_myl0_8                                           0.0604
__myl_MulCastErfCastAddMulMul_myl0_9                            0.0460
node_MatMul_79_myl0_10                                          0.0523
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_11    0.0266
__mye211101+__mye211089+__mye211077_myl0_12                     0.1125
_gemm_mha_v2_myl0_13                                            0.0858
node_MatMul_135_myl0_14                                         0.0451
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_15    0.0193
node_MatMul_137_myl0_16                                         0.0695
__myl_MulCastErfCastAddMulMul_myl0_17                           0.0450
node_MatMul_146_myl0_18                                         0.0552
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_19    0.0245
__mye211195+__mye211183+__mye211171_myl0_20                     0.1125
_gemm_mha_v2_myl0_21                                            0.0851
node_MatMul_202_myl0_22                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_23    0.0183
node_MatMul_204_myl0_24                                         0.0697
__myl_MulCastErfCastAddMulMul_myl0_25                           0.0470
node_MatMul_213_myl0_26                                         0.0533
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_27    0.0233
__mye211289+__mye211277+__mye211265_myl0_28                     0.1126
_gemm_mha_v2_myl0_29                                            0.0860
node_MatMul_269_myl0_30                                         0.0452
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_31    0.0181
node_MatMul_271_myl0_32                                         0.0676
__myl_MulCastErfCastAddMulMul_myl0_33                           0.0459
node_MatMul_280_myl0_34                                         0.0531
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_35    0.0236
__mye211383+__mye211371+__mye211359_myl0_36                     0.1145
_gemm_mha_v2_myl0_37                                            0.0859
node_MatMul_336_myl0_38                                         0.0450
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_39    0.0164
node_MatMul_338_myl0_40                                         0.0644
__myl_MulCastErfCastAddMulMul_myl0_41                           0.0460
node_MatMul_347_myl0_42                                         0.0522
__myl_MulAddCastMeanSubMulMeanAddSqrtDivMulCastMulAdd_myl0_43    0.0245
__mye211477+__mye211465+__mye211453_myl0_44                     0.1146
_gemm_mha_v2_myl0_45                                            0.0860
node_MatMul_403_myl0_46                                         0.0450
